FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Fixed Maturity 2027 Bond Fund,2022-08-04,Toyota Motor Corp.,738789,3476,397227961.11,161.07,784.69,579.44
Global Short Term Credit Fund,2019-07-13,HSBC Holdings Plc,223870,-332,48453255.88,423.09,265.42,981.4
Sustainable Retail Fund,2019-02-13,"Tesla, Inc.",682266,-4177,109188183.5,515.65,956.27,45.97
Fixed Maturity 2027 Bond Fund,2019-01-26,Toyota Motor Corp.,99027,-2306,174371467.29,672.43,652.29,268.56
Global Short Term Credit Fund,2020-05-20,Bank of America Corp.,615388,9078,391476131.23,665.29,804.6,657.78
International Fixed Duration Fund,2021-12-01,AXA SA,985573,540,456224615.09,979.42,628.54,411.93
Subordinated Financials Fund,2021-11-17,"Goldman Sachs Group, Inc.",43620,4188,208007916.77,11.2,888.21,830.59
International Fixed Duration Fund,2018-01-23,Ping An Insurance (Group) Co. of China Ltd.,438259,-6305,209293744.06,416.37,624.74,713.51
Fixed Maturity 2025 Bond Fund,2020-01-17,BP Plc,475728,-2968,44121190.15,598.26,872.22,700.9
International Fixed Duration Fund,2021-02-23,Allianz SE,182850,-9791,472292084.81,516.55,498.83,75.55
Equity Diversified Selection Fund,2022-10-29,"Netflix, Inc.",509675,2031,416946785.8,981.81,999.43,37.18
Global Short Term Credit Fund,2022-05-01,Bank of America Corp.,27271,-9909,351883204.73,952.89,121.45,784.57
Community Savings Bond Fund,2017-11-28,"Walmart, Inc.",62320,-8649,490010292.44,625.38,763.74,450.66
Community Savings Bond Fund,2018-11-11,"Walmart, Inc.",29620,-6787,266308728.48,231.4,718.52,92.84
International Fixed Duration Fund,2020-10-19,AXA SA,299594,2271,250083232.35,484.96,56.18,71.33
Target Maturity 2029 Bond Fund,2021-02-17,Microsoft Corp.,421517,5740,292090954.08,174.45,386.37,571.63
Equity Diversified Selection Fund,2017-07-11,Google LLC,916703,-8216,393265396.36,93.39,585.5,615.64
Sustainable Retail Fund,2018-07-01,"The Hain Celestial Group, Inc.",499429,6526,447629586.1,109.49,632.61,393.71
Subordinated Financials Fund,2021-09-09,"Goldman Sachs Group, Inc.",122546,-6966,422292970.95,749.81,27.48,152.51
Equity Diversified Selection Fund,2020-06-29,Google LLC,822473,-4454,452318177.29,429.44,20.6,427.86
Impact Credit Strategies Fund,2022-07-26,"SolarEdge Technologies, Inc.",275240,562,318969194.02,239.75,726.02,119.53
International Fixed Duration Fund,2018-01-29,AXA SA,631236,1169,39836446.28,520.78,140.03,510.19
Fixed Maturity 2025 Bond Fund,2022-08-19,Chevron Corp.,341905,-2084,258274982.5,480.11,690.64,684.11
Fixed Maturity 2025 Bond Fund,2022-07-18,Chevron Corp.,42888,-2524,468193368.78,760.49,665.09,892.9
Subordinated Financials Fund,2017-05-18,Morgan Stanley,633301,-9510,131836324.47,722.29,287.46,683.58
Impact Credit Strategies Fund,2022-06-08,"First Solar, Inc.",584490,-899,429276012.27,608.29,361.88,173.47
Fixed Maturity 2025 Bond Fund,2019-04-07,BP Plc,201748,569,67216120.06,573.89,241.78,643.07
International Fixed Duration Fund,2022-12-29,Ping An Insurance (Group) Co. of China Ltd.,269121,-374,463422533.28,103.12,590.04,620.36
Global Cross Asset Fund,2021-02-24,Alibaba Group Holding Ltd.,501416,359,449932060.96,715.66,917.3,724.15
International Fixed Duration Fund,2018-12-02,Allianz SE,847238,-9274,88575151.77,589.12,881.21,332.41
Target Maturity 2029 Bond Fund,2021-04-29,"Apple, Inc.",794046,-176,334196124.65,982.84,527.23,973.07
Fixed Maturity 2027 Bond Fund,2022-01-05,Toyota Motor Corp.,763141,-549,278032221.35,720.42,721.29,620.29
Fixed Maturity 2027 Bond Fund,2020-12-10,Volkswagen AG,567029,-5640,116637276.56,674.67,368.44,502.92
Target Maturity 2029 Bond Fund,2017-01-15,"Apple, Inc.",427273,-9319,498254051.88,439.32,180.13,304.56
Subordinated Financials Fund,2017-10-14,"Goldman Sachs Group, Inc.",274971,8148,308620969.81,483.34,992.95,336.15
Target Maturity 2029 Bond Fund,2020-02-13,"Apple, Inc.",164561,3119,253877161.45,598.41,998.91,84.45
Subordinated Financials Fund,2017-03-22,"Goldman Sachs Group, Inc.",635209,-7770,269846418.01,531.84,32.27,276.54
Global Short Term Credit Fund,2019-11-08,JPMorgan Chase & Co.,870069,8389,135698511.14,912.77,758.52,417.86
Equity Diversified Selection Fund,2021-07-28,"Netflix, Inc.",687128,-2112,100000295.39,104.77,854.8,837.92
Global Cross Asset Fund,2019-07-18,Johnson & Johnson,687385,6016,325492456.36,415.88,178.76,544.05
Impact Credit Strategies Fund,2021-07-14,"SolarEdge Technologies, Inc.",332283,-6127,479272787.64,644.59,170.97,225.62
Fixed Maturity 2025 Bond Fund,2021-02-01,BP Plc,125941,-5246,389572822.22,631.41,858.23,169.21
Global Short Term Credit Fund,2020-08-28,Bank of America Corp.,688426,-7371,105761441.66,198.33,583.14,176.17
Target Maturity 2029 Bond Fund,2022-05-02,"Amazon.com, Inc.",893210,-8161,428863783.99,238.28,876.56,455.14
Equity Diversified Selection Fund,2021-07-07,"Facebook, Inc.",171227,-3063,8077489.19,509.02,552.92,563.28
Subordinated Financials Fund,2021-10-31,"Goldman Sachs Group, Inc.",853575,-7927,494906532.81,396.48,708.31,883.07
International Fixed Duration Fund,2017-08-21,AXA SA,400105,8479,356232348.79,647.46,790.55,893.44
Target Maturity 2029 Bond Fund,2020-02-27,"Amazon.com, Inc.",641738,4638,296919652.56,459.55,10.86,338.42
Fixed Maturity 2027 Bond Fund,2021-01-18,Ford Motor Co.,806402,9381,32770530.79,539.66,457.04,305.15
Impact Credit Strategies Fund,2020-06-01,Vestas Wind Systems A/S,327205,-423,294883478.95,743.57,993.03,503.54
Impact Credit Strategies Fund,2020-08-14,"SolarEdge Technologies, Inc.",282295,8975,403407880.68,218.64,221.87,298.19
Equity Diversified Selection Fund,2017-06-06,"Facebook, Inc.",820642,-694,27141208.86,909.84,847.21,614.82
Fixed Maturity 2025 Bond Fund,2020-04-19,Exxon Mobil Corp.,32905,322,106732488.45,960.1,606.57,524.75
Global Cross Asset Fund,2017-11-27,Alibaba Group Holding Ltd.,205861,-8251,88436234.75,93.63,809.6,763.7
Target Maturity 2029 Bond Fund,2019-06-06,Microsoft Corp.,917807,-7670,205409238.81,895.44,374.1,101.79
Community Savings Bond Fund,2019-08-16,Procter & Gamble Co.,874691,-3102,70373042.28,13.37,981.55,903.56
Fixed Maturity 2027 Bond Fund,2019-03-29,Ford Motor Co.,622128,-7673,183128772.21,346.77,116.09,625.4
Subordinated Financials Fund,2021-06-21,Morgan Stanley,812406,43,403886276.44,118.18,967.46,644.77
Target Maturity 2029 Bond Fund,2017-02-28,"Apple, Inc.",6378,176,16120273.02,38.16,620.24,148.65
Sustainable Retail Fund,2022-01-27,"The Hain Celestial Group, Inc.",47213,-2477,74948492.99,99.91,555.61,85.38
Target Maturity 2029 Bond Fund,2019-11-23,"Apple, Inc.",847362,581,190316841.06,241.86,864.65,721.47
Global Short Term Credit Fund,2017-10-26,JPMorgan Chase & Co.,55660,2571,473414895.51,941.92,421.94,996.54
Fixed Maturity 2027 Bond Fund,2017-08-04,Toyota Motor Corp.,835943,2760,353426596.27,989.02,403.83,269.09
Equity Diversified Selection Fund,2021-10-29,Google LLC,254383,9938,330975030.72,26.06,716.66,532.12
Fixed Maturity 2025 Bond Fund,2019-03-25,Exxon Mobil Corp.,898774,9743,41456714.73,642.58,130.07,680.58
Subordinated Financials Fund,2019-07-22,"Goldman Sachs Group, Inc.",353222,-8825,455637628.24,604.57,208.91,330.39
Fixed Maturity 2027 Bond Fund,2020-11-07,Ford Motor Co.,592630,-4647,150705293.91,277.74,602.15,245.59
Target Maturity 2029 Bond Fund,2019-11-06,Microsoft Corp.,719154,7485,34673999.11,161.34,166.37,761.22
International Fixed Duration Fund,2020-03-07,AXA SA,864914,1768,236562679.7,519.29,365.32,473.77
Global Cross Asset Fund,2018-07-27,Johnson & Johnson,37986,-1623,188042855.93,972.57,653.16,443.51
Fixed Maturity 2025 Bond Fund,2019-03-09,Exxon Mobil Corp.,907749,-9585,192519785.29,271.7,472.69,836.87
Global Short Term Credit Fund,2021-09-19,HSBC Holdings Plc,581186,-2007,107377413.94,404.31,872.24,232.62
Equity Diversified Selection Fund,2021-11-11,Google LLC,900867,8802,204185275.25,114.02,792.54,411.55
Global Short Term Credit Fund,2019-06-25,Bank of America Corp.,155740,7789,143896854.39,925.03,663.91,235.46
International Fixed Duration Fund,2019-02-13,Allianz SE,15364,-6968,366378579.48,541.35,564.0,717.4
Equity Diversified Selection Fund,2018-12-24,"Netflix, Inc.",490894,-8566,124032663.5,945.49,947.17,928.77
Global Cross Asset Fund,2018-11-07,"Berkshire Hathaway, Inc.",600621,-8544,484820277.25,347.2,943.3,472.69
Global Cross Asset Fund,2021-01-13,Alibaba Group Holding Ltd.,205424,-1001,57839966.21,87.32,340.4,443.2
International Fixed Duration Fund,2020-07-07,Ping An Insurance (Group) Co. of China Ltd.,223277,-8081,208936248.97,474.89,228.14,743.14
Fixed Maturity 2025 Bond Fund,2018-11-11,BP Plc,682597,7370,330797640.25,81.44,240.01,899.78
Global Cross Asset Fund,2021-09-19,"Berkshire Hathaway, Inc.",149008,402,199475651.39,767.92,371.83,479.11
Fixed Maturity 2025 Bond Fund,2017-05-03,Chevron Corp.,858709,-5186,357558248.98,902.41,968.24,294.66
Equity Diversified Selection Fund,2019-10-10,"Netflix, Inc.",542739,-6161,299023686.91,780.46,696.92,358.49
International Fixed Duration Fund,2017-12-25,Allianz SE,936885,-8708,168226477.98,824.35,880.41,397.25
Equity Diversified Selection Fund,2017-11-23,"Facebook, Inc.",641736,-3914,220412468.27,87.75,824.46,900.52
Global Short Term Credit Fund,2018-06-21,HSBC Holdings Plc,376197,7916,439238421.44,974.21,894.94,334.77
Sustainable Retail Fund,2017-12-15,"Beyond Meat, Inc.",43671,5659,234289648.62,414.42,607.93,810.7
Global Short Term Credit Fund,2018-09-06,JPMorgan Chase & Co.,331339,-3795,92927585.78,644.99,863.5,744.44
Global Short Term Credit Fund,2022-05-10,HSBC Holdings Plc,123186,-7795,498987565.7,713.36,884.04,383.11
Target Maturity 2029 Bond Fund,2019-01-08,"Apple, Inc.",257489,-3184,440131776.64,185.33,393.74,164.04
Fixed Maturity 2025 Bond Fund,2018-09-29,Chevron Corp.,771745,-2573,467045450.62,548.59,959.34,657.64
Subordinated Financials Fund,2018-01-18,"Goldman Sachs Group, Inc.",839064,-805,475673877.92,685.52,836.85,662.42
Sustainable Retail Fund,2019-06-26,"Tesla, Inc.",473013,6031,143943860.45,320.28,187.27,318.02
Community Savings Bond Fund,2021-02-21,Procter & Gamble Co.,786750,7187,12209066.22,388.69,523.84,501.37
Impact Credit Strategies Fund,2022-03-17,"SolarEdge Technologies, Inc.",26928,573,81179541.6,327.0,734.15,167.33
Sustainable Retail Fund,2021-12-23,"The Hain Celestial Group, Inc.",605906,1326,497910130.97,973.12,852.38,597.98
Global Cross Asset Fund,2020-11-29,Alibaba Group Holding Ltd.,230484,4175,19417615.6,838.24,35.14,963.84
Sustainable Retail Fund,2018-07-16,"Beyond Meat, Inc.",637174,-8772,104791577.93,368.98,653.36,639.85
Fixed Maturity 2027 Bond Fund,2019-09-27,Ford Motor Co.,535618,7530,450342503.62,902.29,702.26,940.25
Target Maturity 2029 Bond Fund,2020-08-31,Microsoft Corp.,884707,7238,447243128.47,889.57,850.47,462.8
Global Short Term Credit Fund,2020-07-06,JPMorgan Chase & Co.,217018,927,181437259.57,870.77,990.0,243.73
Community Savings Bond Fund,2020-08-19,"Walmart, Inc.",366557,1891,140205688.47,656.58,621.07,534.31
Fixed Maturity 2025 Bond Fund,2020-04-30,Exxon Mobil Corp.,922797,5590,372525583.91,346.7,288.76,560.52
Sustainable Retail Fund,2018-05-02,"Tesla, Inc.",763396,-8790,447602644.48,187.79,589.18,376.12
Subordinated Financials Fund,2021-08-25,"Goldman Sachs Group, Inc.",924134,-1619,6985149.95,602.75,781.4,992.87
Fixed Maturity 2027 Bond Fund,2019-04-15,Volkswagen AG,249871,-7575,317950393.74,740.84,116.91,116.97
Global Cross Asset Fund,2021-07-29,Alibaba Group Holding Ltd.,626165,6244,94562409.8,861.63,966.26,935.53
Equity Diversified Selection Fund,2021-05-15,"Netflix, Inc.",640243,-4517,424536368.79,141.17,160.2,26.45
Subordinated Financials Fund,2020-10-28,Citigroup Inc.,97544,-5854,149080061.96,576.25,89.31,877.66
Community Savings Bond Fund,2021-10-03,Nestlé SA,249035,-6269,158592902.67,231.89,869.26,811.61
Community Savings Bond Fund,2019-11-06,Nestlé SA,261099,-2419,223890712.77,974.59,840.85,593.17
Community Savings Bond Fund,2018-12-16,Procter & Gamble Co.,837958,-8767,487897592.85,356.42,298.45,425.17
Impact Credit Strategies Fund,2019-09-19,"SolarEdge Technologies, Inc.",495661,-6124,273678617.96,399.16,556.82,972.71
Impact Credit Strategies Fund,2019-01-23,"SolarEdge Technologies, Inc.",584501,3703,30408582.47,716.17,171.24,18.8
Global Cross Asset Fund,2022-12-07,Johnson & Johnson,393205,-8384,427479945.6,159.37,255.29,75.52
International Fixed Duration Fund,2020-11-24,Ping An Insurance (Group) Co. of China Ltd.,671473,4943,384112940.27,922.6,412.34,722.49
Equity Diversified Selection Fund,2021-01-07,"Facebook, Inc.",902501,9585,276843868.48,115.87,870.31,408.71
International Fixed Duration Fund,2021-03-18,Ping An Insurance (Group) Co. of China Ltd.,530942,-2012,200852178.94,933.02,673.99,693.9
Fixed Maturity 2027 Bond Fund,2018-06-18,Volkswagen AG,522727,657,337391483.43,648.18,93.27,102.61
Target Maturity 2029 Bond Fund,2021-12-19,"Amazon.com, Inc.",706937,-9243,264143055.67,946.93,128.91,573.82
Impact Credit Strategies Fund,2018-12-09,"First Solar, Inc.",963539,7354,62094560.82,650.97,743.1,96.12
Fixed Maturity 2027 Bond Fund,2018-07-17,Volkswagen AG,786211,-2951,133031328.65,362.46,446.57,586.46
Subordinated Financials Fund,2020-05-25,"Goldman Sachs Group, Inc.",639035,522,174729965.36,827.4,53.14,867.03
Community Savings Bond Fund,2022-11-17,Nestlé SA,592124,-9984,227911268.16,785.17,507.23,493.67
Global Cross Asset Fund,2019-01-24,"Berkshire Hathaway, Inc.",343322,5235,339489934.35,87.89,514.77,72.63
Sustainable Retail Fund,2020-01-26,"Beyond Meat, Inc.",636998,7838,132468240.85,529.82,822.7,144.26
Global Cross Asset Fund,2017-09-24,"Berkshire Hathaway, Inc.",976186,349,208282712.96,118.82,641.15,853.96
Global Cross Asset Fund,2019-02-16,"Berkshire Hathaway, Inc.",161329,3670,184112781.51,143.14,537.49,562.01
Equity Diversified Selection Fund,2022-08-29,"Facebook, Inc.",782978,-339,146996630.21,608.16,782.28,700.06
Global Cross Asset Fund,2017-06-13,Alibaba Group Holding Ltd.,417177,-9755,193349436.75,573.09,454.75,783.47
Global Cross Asset Fund,2021-01-09,"Berkshire Hathaway, Inc.",276321,8999,337979119.79,416.36,593.31,577.77
Fixed Maturity 2027 Bond Fund,2017-08-13,Toyota Motor Corp.,193720,-2491,365054509.32,314.19,550.67,933.95
International Fixed Duration Fund,2019-10-04,Allianz SE,518000,-247,313033312.98,512.17,278.08,202.8
Target Maturity 2029 Bond Fund,2019-09-03,"Apple, Inc.",660719,-3946,200406867.25,996.23,847.59,480.9
Fixed Maturity 2025 Bond Fund,2021-10-12,Chevron Corp.,290058,-5575,107630248.31,566.79,978.98,965.37
Fixed Maturity 2025 Bond Fund,2019-02-02,Exxon Mobil Corp.,387917,-8078,101884711.35,690.16,830.66,904.99
Target Maturity 2029 Bond Fund,2020-09-30,"Apple, Inc.",646933,7163,52936237.16,601.02,504.12,255.88
Impact Credit Strategies Fund,2020-03-24,"First Solar, Inc.",685633,6345,178081836.26,527.31,936.16,150.49
Equity Diversified Selection Fund,2017-08-11,"Netflix, Inc.",615647,-3357,464159118.34,235.47,565.36,563.9
Community Savings Bond Fund,2021-11-18,Procter & Gamble Co.,784254,7662,205451572.55,948.81,596.27,435.6
Target Maturity 2029 Bond Fund,2019-05-07,"Apple, Inc.",341086,-8329,435684893.65,615.26,445.5,647.14
Impact Credit Strategies Fund,2017-01-19,"SolarEdge Technologies, Inc.",668930,-2872,485589356.39,559.68,195.86,121.22
Impact Credit Strategies Fund,2018-12-10,"First Solar, Inc.",975819,824,146158715.69,632.42,798.57,183.16
Target Maturity 2029 Bond Fund,2022-05-30,Microsoft Corp.,614721,6883,245672346.95,333.46,291.02,122.43
Sustainable Retail Fund,2022-01-10,"Beyond Meat, Inc.",39206,2108,241033017.05,148.43,786.12,666.85
Community Savings Bond Fund,2019-08-06,Nestlé SA,327669,3319,474441106.82,702.8,442.08,123.86
Equity Diversified Selection Fund,2018-03-30,Google LLC,520248,-5267,294506570.84,493.03,541.93,498.25
Target Maturity 2029 Bond Fund,2019-10-03,"Amazon.com, Inc.",312269,-6083,119288701.6,256.66,664.64,437.62
Fixed Maturity 2025 Bond Fund,2018-05-11,Exxon Mobil Corp.,856158,-3379,187267679.5,611.57,577.65,510.36
Equity Diversified Selection Fund,2018-12-17,Google LLC,808389,6652,49690560.22,139.68,931.13,320.61
Subordinated Financials Fund,2022-10-31,"Goldman Sachs Group, Inc.",613997,-8516,339887005.65,495.48,18.99,519.52
Impact Credit Strategies Fund,2021-11-10,Vestas Wind Systems A/S,818769,4988,472618702.45,27.07,747.39,188.96
Impact Credit Strategies Fund,2018-07-16,Vestas Wind Systems A/S,45234,7189,260296772.92,165.57,369.07,239.53
International Fixed Duration Fund,2020-01-10,AXA SA,481184,-9865,375677541.75,598.27,174.38,118.32
International Fixed Duration Fund,2021-11-17,Ping An Insurance (Group) Co. of China Ltd.,266782,8313,16210195.57,708.51,994.85,655.16
Equity Diversified Selection Fund,2020-07-01,"Netflix, Inc.",841506,-4131,65262907.48,746.71,504.1,908.41
Global Cross Asset Fund,2018-08-06,Johnson & Johnson,133578,-2994,477411428.52,60.51,860.85,433.48
Sustainable Retail Fund,2018-07-22,"The Hain Celestial Group, Inc.",106406,2584,127756153.83,159.76,702.2,488.4
Sustainable Retail Fund,2017-12-16,"Tesla, Inc.",197694,9989,177596572.37,382.11,820.88,792.86
Fixed Maturity 2027 Bond Fund,2022-02-14,Ford Motor Co.,664951,-3144,337665924.34,272.03,741.27,752.86
Sustainable Retail Fund,2019-02-11,"Beyond Meat, Inc.",765066,3717,232624186.33,848.83,435.98,382.6
Global Cross Asset Fund,2021-02-26,Alibaba Group Holding Ltd.,261311,-4888,58352232.57,817.46,444.63,912.72
Fixed Maturity 2025 Bond Fund,2017-08-20,Exxon Mobil Corp.,783184,4632,59611487.4,764.42,296.44,796.09
Fixed Maturity 2025 Bond Fund,2021-12-19,BP Plc,343654,-7989,368595083.07,878.48,240.87,451.79
Global Cross Asset Fund,2017-09-18,Alibaba Group Holding Ltd.,187454,-2608,5780372.78,790.37,249.88,871.22
Global Cross Asset Fund,2018-08-15,Johnson & Johnson,379850,-8217,74363821.24,525.86,11.53,187.91
Sustainable Retail Fund,2020-06-10,"The Hain Celestial Group, Inc.",699790,-1696,52443430.18,66.5,896.89,995.47
Target Maturity 2029 Bond Fund,2020-03-09,Microsoft Corp.,16545,-3240,234068947.32,337.42,193.65,615.51
Target Maturity 2029 Bond Fund,2019-08-28,"Amazon.com, Inc.",345716,-1106,19479634.78,661.66,785.33,201.45
Global Short Term Credit Fund,2021-11-06,HSBC Holdings Plc,293876,7942,465531312.17,884.83,524.29,437.74
Subordinated Financials Fund,2018-11-16,Citigroup Inc.,293916,-6618,409952888.28,173.45,980.01,153.1
Impact Credit Strategies Fund,2017-02-22,Vestas Wind Systems A/S,110575,-900,213772023.87,324.71,555.5,534.78
Community Savings Bond Fund,2021-09-02,Procter & Gamble Co.,104324,-8094,369812734.5,781.01,50.3,543.25
Global Cross Asset Fund,2020-12-08,Johnson & Johnson,310140,2358,339614191.92,460.64,268.48,356.4
Community Savings Bond Fund,2020-01-26,Procter & Gamble Co.,37115,-7628,127965988.62,520.21,169.89,239.83
Subordinated Financials Fund,2018-10-23,"Goldman Sachs Group, Inc.",274039,-6782,483258620.9,657.57,441.87,884.98
Target Maturity 2029 Bond Fund,2022-09-18,"Amazon.com, Inc.",913914,9316,326717619.22,292.48,998.12,402.19
Global Short Term Credit Fund,2021-07-08,JPMorgan Chase & Co.,195198,2361,52689904.58,853.85,251.51,138.68
Sustainable Retail Fund,2019-07-09,"Tesla, Inc.",195475,-8250,271674787.94,412.77,63.42,53.87
Community Savings Bond Fund,2018-02-14,Procter & Gamble Co.,237115,-1697,175950997.8,940.49,88.07,589.22
Equity Diversified Selection Fund,2022-03-05,"Netflix, Inc.",618755,-1748,295433484.98,259.73,44.16,296.87
Global Cross Asset Fund,2017-10-23,Johnson & Johnson,625168,-9267,318469431.48,906.57,166.27,56.84
Fixed Maturity 2025 Bond Fund,2017-03-28,BP Plc,657953,-4409,98366933.09,170.76,762.8,984.84
Impact Credit Strategies Fund,2022-06-09,Vestas Wind Systems A/S,679387,9698,173858242.99,625.04,468.34,499.29
Global Short Term Credit Fund,2022-02-26,HSBC Holdings Plc,312239,-2651,41340194.88,539.48,349.81,138.91
Global Cross Asset Fund,2018-06-14,Alibaba Group Holding Ltd.,368527,-3571,148262125.12,399.64,46.39,351.97
Target Maturity 2029 Bond Fund,2021-11-12,Microsoft Corp.,895940,-6646,171188618.24,183.88,395.22,596.04
Impact Credit Strategies Fund,2019-11-27,"First Solar, Inc.",268500,3194,436707781.96,122.7,624.72,969.93
Global Short Term Credit Fund,2020-02-23,Bank of America Corp.,406473,3089,377424813.11,646.52,248.25,246.81
Global Cross Asset Fund,2018-05-08,"Berkshire Hathaway, Inc.",964094,-4027,151097765.31,529.42,30.17,52.01
Sustainable Retail Fund,2022-12-15,"The Hain Celestial Group, Inc.",617433,-9974,41417855.91,113.84,513.77,695.16
Sustainable Retail Fund,2018-01-12,"Tesla, Inc.",882249,784,186560604.99,896.5,926.71,965.98
Fixed Maturity 2027 Bond Fund,2022-07-26,Toyota Motor Corp.,527254,-9540,273022400.23,462.61,72.55,379.82
Community Savings Bond Fund,2017-12-25,Nestlé SA,441492,-1685,182403602.63,858.84,677.53,112.6
Fixed Maturity 2027 Bond Fund,2019-12-27,Volkswagen AG,94044,-5875,98338304.22,333.52,621.37,274.13
Impact Credit Strategies Fund,2021-06-04,Vestas Wind Systems A/S,573529,77,361151713.07,861.42,577.71,175.56
Global Cross Asset Fund,2020-08-19,Alibaba Group Holding Ltd.,741830,1995,306845020.14,491.91,118.18,796.21
Target Maturity 2029 Bond Fund,2021-03-08,Microsoft Corp.,852869,-5686,444265471.97,116.37,313.93,996.76
Fixed Maturity 2025 Bond Fund,2020-09-14,BP Plc,491153,-6352,268219504.91,872.15,232.81,105.05
Global Cross Asset Fund,2020-08-08,Johnson & Johnson,769429,-6785,434716049.6,129.05,65.46,749.27
Subordinated Financials Fund,2017-03-11,Morgan Stanley,949727,-596,459866095.45,992.48,948.23,91.68
International Fixed Duration Fund,2019-03-13,Ping An Insurance (Group) Co. of China Ltd.,927106,7392,448024167.24,769.74,993.87,269.66
Community Savings Bond Fund,2019-04-22,Nestlé SA,606730,-1296,187598513.01,329.43,865.06,803.92
Global Short Term Credit Fund,2018-01-25,JPMorgan Chase & Co.,28595,6847,253952126.71,444.0,10.6,922.51
Global Cross Asset Fund,2020-07-23,"Berkshire Hathaway, Inc.",366254,-7166,418870438.37,482.6,714.61,265.43
Fixed Maturity 2027 Bond Fund,2017-05-13,Toyota Motor Corp.,701720,3743,186346269.33,708.12,204.01,398.7
Global Short Term Credit Fund,2019-10-08,Bank of America Corp.,960543,-4238,411576674.3,281.19,256.51,404.74
Global Short Term Credit Fund,2017-08-15,Bank of America Corp.,184319,-4731,176310310.27,293.59,471.34,40.44
International Fixed Duration Fund,2021-12-10,Ping An Insurance (Group) Co. of China Ltd.,595219,-5983,432302576.42,511.63,956.35,14.3
Subordinated Financials Fund,2021-07-08,Morgan Stanley,574513,-5404,482280849.52,879.04,369.1,379.82
Global Short Term Credit Fund,2019-05-13,HSBC Holdings Plc,31122,-6736,277349894.5,266.04,591.21,287.15
Global Short Term Credit Fund,2022-01-13,HSBC Holdings Plc,265378,-1614,278415628.54,47.83,539.24,467.94
Equity Diversified Selection Fund,2022-01-15,"Netflix, Inc.",742963,643,366539906.31,345.8,607.58,681.11
International Fixed Duration Fund,2018-07-12,AXA SA,484150,-2478,444169538.13,209.66,466.2,357.19
Global Short Term Credit Fund,2022-10-03,Bank of America Corp.,713679,9359,496679329.38,844.33,178.78,26.88
Impact Credit Strategies Fund,2022-08-25,"First Solar, Inc.",112173,4565,31003912.05,258.93,284.06,50.4
Impact Credit Strategies Fund,2017-10-24,Vestas Wind Systems A/S,462910,6895,486541955.1,129.0,718.43,558.2
Global Cross Asset Fund,2021-02-28,Johnson & Johnson,794046,6431,377904677.0,261.87,662.47,532.15
Subordinated Financials Fund,2019-05-21,Morgan Stanley,506077,-7841,371366937.52,918.89,851.68,140.8
International Fixed Duration Fund,2022-10-28,Allianz SE,532743,-2836,125936594.71,999.44,785.26,949.2
Impact Credit Strategies Fund,2018-09-25,Vestas Wind Systems A/S,274130,-7034,92474972.82,891.27,908.19,956.9
Global Short Term Credit Fund,2019-02-06,HSBC Holdings Plc,876624,-2493,309407596.11,584.16,267.85,426.55
International Fixed Duration Fund,2019-07-15,AXA SA,702004,-9011,310923103.84,495.38,68.14,783.28
Community Savings Bond Fund,2021-11-05,Procter & Gamble Co.,81434,-5409,394558179.17,702.61,581.5,172.96
Fixed Maturity 2025 Bond Fund,2017-03-17,BP Plc,507024,-1694,196219527.71,607.59,242.1,131.8
Equity Diversified Selection Fund,2017-11-14,"Netflix, Inc.",246570,-7373,483744337.92,631.96,575.24,476.01
Global Short Term Credit Fund,2020-11-07,JPMorgan Chase & Co.,984000,7453,440014790.86,536.9,275.36,441.42
Global Short Term Credit Fund,2017-06-24,Bank of America Corp.,507413,9745,185967994.02,751.21,719.7,367.69
Subordinated Financials Fund,2022-05-07,Citigroup Inc.,550940,160,413682576.06,674.06,280.83,449.94
Fixed Maturity 2027 Bond Fund,2019-08-21,Ford Motor Co.,499108,207,275961015.52,809.45,172.96,594.84
Impact Credit Strategies Fund,2022-02-27,Vestas Wind Systems A/S,140968,5703,277993926.82,670.1,865.98,643.71
Subordinated Financials Fund,2018-04-12,Morgan Stanley,154565,-5807,122477957.12,218.05,943.1,515.49
Community Savings Bond Fund,2021-03-13,"Walmart, Inc.",453829,9189,205560613.78,364.31,364.56,110.27
Equity Diversified Selection Fund,2020-12-16,"Netflix, Inc.",274767,-1958,389504991.72,936.16,414.51,298.75
Fixed Maturity 2027 Bond Fund,2021-07-17,Ford Motor Co.,301464,-6916,225354283.51,989.9,906.63,201.72
Global Short Term Credit Fund,2022-08-13,JPMorgan Chase & Co.,742254,-5389,263374842.43,823.21,877.63,113.37
Sustainable Retail Fund,2019-06-16,"The Hain Celestial Group, Inc.",773391,-3635,245395694.51,646.73,666.79,595.42
Fixed Maturity 2025 Bond Fund,2022-01-09,Chevron Corp.,964516,-2501,15476003.58,646.16,325.24,602.59
Fixed Maturity 2027 Bond Fund,2021-04-02,Volkswagen AG,200289,-6033,440133793.7,514.58,253.58,279.3
Equity Diversified Selection Fund,2019-03-05,Google LLC,91103,-1414,60316258.51,623.88,945.57,676.87
Subordinated Financials Fund,2022-04-19,"Goldman Sachs Group, Inc.",493093,-4129,137836155.83,99.87,720.4,966.37
