LP,FUND,VINTAGE,TOTAL_COMMITMENT_EU,COMMITMENT_CALLED_EU,COMMITMENT_UNCALLED_EU,DISTRIBUTED_EU,RECALLABLE_EU,NAV_EU,SFDR,ASSET_CLASS,COMMENTAIRES
INKIPIT FINANCE,Impact Credit Strategies Fund,2022,35,13,22,1,0,74,9,Private Debt,
INKIPIT FINANCE,Global Cross Asset Fund,2017,393,103,290,10,1,77,8,Private Debt,
INKIPIT FINANCE,Equity Diversified Selection Fund,2021,404,316,89,29,9,5,9,Private Equity,
KERMONY OFFICE,Global Short Term Credit Fund,2023,62,9,53,2,0,57,8,Private Equity,
KERMONY OFFICE,International Fixed Duration Fund,2020,277,19,258,1,0,42,6,Private Equity,
KERMONY OFFICE,Community Savings Bond Fund,2020,380,48,333,7,0,37,9,Private Debt,
KERMONY OFFICE,European High Yield Bond Fund,2019,144,90,54,7,1,39,6,Private Equity,
KERMONY OFFICE,Fixed Maturity 2027 Bond Fund,2019,155,13,141,0,0,92,6,Private Debt,
KERMONY OFFICE,Fixed Maturity 2025 Bond Fund,2021,480,418,62,70,31,73,6,Private Debt,
KERMONY OFFICE,Target Maturity 2029 Bond Fund,2017,303,164,139,25,9,72,9,Private Debt,
KERMONY OFFICE,Impact Credit Strategies Fund,2019,132,62,70,9,3,93,8,Private Debt,
KERMONY OFFICE,Global Cross Asset Fund,2022,298,47,250,4,1,59,9,Private Equity,
KERMONY OFFICE,Equity Diversified Selection Fund,2017,96,10,85,5,1,31,9,Private Debt,
LEONE KAPITAL,Global Short Term Credit Fund,2021,95,35,61,17,1,58,6,Private Debt,
LEONE KAPITAL,International Fixed Duration Fund,2020,422,69,353,25,0,65,6,Private Debt,
LEONE KAPITAL,Community Savings Bond Fund,2024,421,81,340,9,2,87,6,Private Debt,
LEONE KAPITAL,European High Yield Bond Fund,2019,381,181,200,77,25,88,8,Private Equity,
LEONE KAPITAL,Fixed Maturity 2027 Bond Fund,2022,63,44,20,0,0,34,9,Private Debt,
LEONE KAPITAL,Fixed Maturity 2025 Bond Fund,2024,65,50,15,20,3,10,9,Private Equity,
LEONE KAPITAL,Target Maturity 2029 Bond Fund,2020,138,57,81,27,1,9,6,Private Equity,
LEONE KAPITAL,Impact Credit Strategies Fund,2022,314,216,98,75,24,9,8,Private Equity,
LEONE KAPITAL,Global Cross Asset Fund,2019,73,4,69,2,0,56,9,Private Equity,
LEONE KAPITAL,Equity Diversified Selection Fund,2024,443,89,355,9,2,61,9,Private Equity,
MAISON LAPLACE,Global Short Term Credit Fund,2023,379,263,115,40,12,19,9,Private Debt,
MAISON LAPLACE,International Fixed Duration Fund,2021,352,254,98,111,19,91,8,Private Debt,
MAISON LAPLACE,Community Savings Bond Fund,2019,266,70,196,14,5,72,6,Private Debt,
MAISON LAPLACE,European High Yield Bond Fund,2021,235,84,150,6,1,48,9,Private Debt,
MAISON LAPLACE,Fixed Maturity 2027 Bond Fund,2017,171,104,67,22,5,14,6,Private Equity,
MAISON LAPLACE,Fixed Maturity 2025 Bond Fund,2019,31,8,23,3,1,16,9,Private Equity,
MAISON LAPLACE,Target Maturity 2029 Bond Fund,2017,370,312,58,120,20,18,8,Private Equity,
MAISON LAPLACE,Impact Credit Strategies Fund,2018,376,68,308,16,8,100,8,Private Debt,
MAISON LAPLACE,Global Cross Asset Fund,2018,108,83,25,7,2,37,9,Private Debt,
MAISON LAPLACE,Equity Diversified Selection Fund,2021,316,180,136,6,1,19,9,Private Equity,
MEESCHAERT FAMILY OFFICE,Global Short Term Credit Fund,2022,322,28,294,8,1,32,8,Private Debt,
MEESCHAERT FAMILY OFFICE,International Fixed Duration Fund,2022,305,73,233,21,9,15,6,Private Debt,
MEESCHAERT FAMILY OFFICE,Community Savings Bond Fund,2024,338,297,41,141,13,18,6,Private Equity,
MEESCHAERT FAMILY OFFICE,European High Yield Bond Fund,2024,445,268,177,122,14,52,8,Private Equity,
MEESCHAERT FAMILY OFFICE,Fixed Maturity 2027 Bond Fund,2021,66,21,44,10,0,14,9,Private Debt,
MEESCHAERT FAMILY OFFICE,Fixed Maturity 2025 Bond Fund,2017,41,17,24,8,1,60,6,Private Equity,
MEESCHAERT FAMILY OFFICE,Target Maturity 2029 Bond Fund,2024,23,4,19,2,0,87,8,Private Equity,
MEESCHAERT FAMILY OFFICE,Impact Credit Strategies Fund,2018,316,221,95,86,8,36,6,Private Equity,
MEESCHAERT FAMILY OFFICE,Global Cross Asset Fund,2020,15,2,12,0,0,5,8,Private Debt,
MEESCHAERT FAMILY OFFICE,Equity Diversified Selection Fund,2018,487,322,165,119,41,12,9,Private Equity,
PULSE,Global Short Term Credit Fund,2024,421,198,223,83,1,97,8,Private Equity,
PULSE,International Fixed Duration Fund,2017,192,58,134,17,3,23,9,Private Equity,
PULSE,Community Savings Bond Fund,2018,22,6,16,2,0,95,6,Private Debt,
PULSE,European High Yield Bond Fund,2020,220,65,155,26,8,71,9,Private Equity,
PULSE,Fixed Maturity 2027 Bond Fund,2020,173,138,35,28,5,12,8,Private Debt,
PULSE,Fixed Maturity 2025 Bond Fund,2021,190,100,90,24,6,79,9,Private Equity,
PULSE,Target Maturity 2029 Bond Fund,2020,323,85,238,41,6,69,8,Private Equity,
PULSE,Impact Credit Strategies Fund,2024,317,282,35,99,1,75,8,Private Debt,
PULSE,Global Cross Asset Fund,2023,66,16,50,1,0,89,6,Private Debt,
PULSE,Equity Diversified Selection Fund,2017,192,53,139,15,6,59,6,Private Debt,
ATHOS PATRIMOINE,Global Short Term Credit Fund,2020,421,226,194,14,4,55,6,Private Debt,
ATHOS PATRIMOINE,International Fixed Duration Fund,2018,390,290,100,44,18,20,9,Private Equity,
ATHOS PATRIMOINE,Community Savings Bond Fund,2021,406,265,142,50,21,18,6,Private Debt,
ATHOS PATRIMOINE,European High Yield Bond Fund,2023,269,93,176,34,12,13,8,Private Debt,
ATHOS PATRIMOINE,Fixed Maturity 2027 Bond Fund,2018,353,231,122,13,6,68,6,Private Equity,
ATHOS PATRIMOINE,Fixed Maturity 2025 Bond Fund,2017,240,64,177,9,1,15,8,Private Equity,
ATHOS PATRIMOINE,Target Maturity 2029 Bond Fund,2023,478,294,184,68,10,88,8,Private Equity,
ATHOS PATRIMOINE,Impact Credit Strategies Fund,2022,103,38,65,15,7,32,6,Private Equity,
ATHOS PATRIMOINE,Global Cross Asset Fund,2020,125,54,70,18,0,48,9,Private Equity,
ATHOS PATRIMOINE,Equity Diversified Selection Fund,2018,163,6,158,1,0,83,6,Private Debt,
DOXANS,Global Short Term Credit Fund,2019,221,32,189,6,2,82,9,Private Debt,
DOXANS,International Fixed Duration Fund,2019,428,98,330,38,6,83,9,Private Equity,
DOXANS,Community Savings Bond Fund,2020,354,282,72,21,10,21,9,Private Debt,
DOXANS,European High Yield Bond Fund,2021,217,46,170,1,0,73,8,Private Equity,
DOXANS,Fixed Maturity 2027 Bond Fund,2024,316,254,62,20,3,85,9,Private Equity,
DOXANS,Fixed Maturity 2025 Bond Fund,2017,407,232,175,68,15,62,6,Private Debt,
DOXANS,Target Maturity 2029 Bond Fund,2018,47,9,38,3,1,77,6,Private Equity,
DOXANS,Impact Credit Strategies Fund,2017,92,8,85,2,1,67,8,Private Equity,
DOXANS,Global Cross Asset Fund,2018,472,32,440,5,2,32,9,Private Equity,
DOXANS,Equity Diversified Selection Fund,2019,476,428,48,196,42,61,6,Private Equity,
EVFO,Global Short Term Credit Fund,2022,87,56,31,14,5,70,8,Private Debt,
EVFO,International Fixed Duration Fund,2020,141,38,104,3,0,42,6,Private Debt,
EVFO,Community Savings Bond Fund,2022,370,306,64,118,8,26,9,Private Debt,
EVFO,European High Yield Bond Fund,2020,488,66,422,4,0,17,8,Private Debt,
EVFO,Fixed Maturity 2027 Bond Fund,2022,143,118,25,21,10,94,9,Private Equity,
EVFO,Fixed Maturity 2025 Bond Fund,2022,130,89,41,29,12,16,9,Private Equity,
EVFO,Target Maturity 2029 Bond Fund,2022,181,122,58,11,4,60,8,Private Debt,
EVFO,Impact Credit Strategies Fund,2018,342,226,116,93,35,37,8,Private Debt,
EVFO,Global Cross Asset Fund,2020,252,187,65,38,6,56,9,Private Debt,
EVFO,Equity Diversified Selection Fund,2023,347,297,50,135,22,10,8,Private Equity,
G CONSULT FINANCES,Global Short Term Credit Fund,2024,446,9,437,4,0,4,9,Private Debt,
G CONSULT FINANCES,International Fixed Duration Fund,2018,40,12,28,1,0,42,9,Private Equity,
G CONSULT FINANCES,Community Savings Bond Fund,2023,428,20,408,6,1,41,6,Private Equity,
G CONSULT FINANCES,European High Yield Bond Fund,2021,462,328,134,36,4,83,6,Private Equity,
G CONSULT FINANCES,Fixed Maturity 2027 Bond Fund,2019,151,79,72,23,8,39,8,Private Equity,
G CONSULT FINANCES,Fixed Maturity 2025 Bond Fund,2019,120,23,97,4,2,18,8,Private Equity,
G CONSULT FINANCES,Target Maturity 2029 Bond Fund,2022,68,37,31,4,1,64,9,Private Debt,
G CONSULT FINANCES,Impact Credit Strategies Fund,2017,240,18,222,6,3,92,9,Private Equity,
G CONSULT FINANCES,Global Cross Asset Fund,2019,211,42,168,19,3,29,8,Private Debt,
G CONSULT FINANCES,Equity Diversified Selection Fund,2019,106,90,16,27,8,86,9,Private Equity,
HÂPYFEW,Global Short Term Credit Fund,2017,261,25,235,6,1,16,6,Private Debt,
HÂPYFEW,International Fixed Duration Fund,2020,112,12,100,2,0,62,6,Private Debt,
HÂPYFEW,Community Savings Bond Fund,2019,109,10,99,3,0,40,8,Private Equity,
HÂPYFEW,European High Yield Bond Fund,2023,334,98,236,1,0,90,8,Private Equity,
HÂPYFEW,Fixed Maturity 2027 Bond Fund,2019,366,43,323,5,2,71,9,Private Equity,
HÂPYFEW,Fixed Maturity 2025 Bond Fund,2017,451,368,83,91,5,39,6,Private Debt,
HÂPYFEW,Target Maturity 2029 Bond Fund,2019,15,5,10,0,0,54,6,Private Equity,
HÂPYFEW,Impact Credit Strategies Fund,2022,279,224,55,50,3,4,8,Private Debt,
HÂPYFEW,Global Cross Asset Fund,2021,246,47,200,20,6,84,9,Private Equity,
HÂPYFEW,Equity Diversified Selection Fund,2022,186,82,105,34,11,15,9,Private Equity,
IMANI & YOU,Global Short Term Credit Fund,2022,192,94,98,4,0,98,6,Private Equity,
IMANI & YOU,International Fixed Duration Fund,2024,359,232,128,59,29,7,8,Private Equity,
IMANI & YOU,Community Savings Bond Fund,2019,42,5,37,2,1,85,8,Private Debt,
IMANI & YOU,European High Yield Bond Fund,2023,106,81,25,12,2,2,8,Private Equity,
IMANI & YOU,Fixed Maturity 2027 Bond Fund,2018,257,90,168,8,3,90,6,Private Equity,
IMANI & YOU,Fixed Maturity 2025 Bond Fund,2018,479,86,392,38,8,95,9,Private Debt,
IMANI & YOU,Target Maturity 2029 Bond Fund,2024,490,81,409,10,3,13,8,Private Equity,
IMANI & YOU,Impact Credit Strategies Fund,2024,436,126,310,50,22,86,8,Private Equity,
IMANI & YOU,Global Cross Asset Fund,2019,36,9,27,1,0,57,6,Private Equity,
IMANI & YOU,Equity Diversified Selection Fund,2023,195,74,121,33,6,96,6,Private Equity,
MARQUIS FAMILY OFFICE,Global Short Term Credit Fund,2022,307,250,57,60,19,61,6,Private Debt,
MARQUIS FAMILY OFFICE,International Fixed Duration Fund,2018,130,98,32,11,4,95,8,Private Equity,
MARQUIS FAMILY OFFICE,Community Savings Bond Fund,2023,483,68,415,31,16,80,6,Private Equity,
MARQUIS FAMILY OFFICE,European High Yield Bond Fund,2021,366,185,182,14,4,6,8,Private Equity,
MARQUIS FAMILY OFFICE,Fixed Maturity 2027 Bond Fund,2019,62,5,57,2,1,80,8,Private Debt,
MARQUIS FAMILY OFFICE,Fixed Maturity 2025 Bond Fund,2024,484,356,128,14,3,67,8,Private Debt,
MARQUIS FAMILY OFFICE,Target Maturity 2029 Bond Fund,2022,50,1,49,0,0,10,8,Private Debt,
MARQUIS FAMILY OFFICE,Impact Credit Strategies Fund,2021,327,142,185,41,7,14,9,Private Equity,
MARQUIS FAMILY OFFICE,Global Cross Asset Fund,2018,321,74,247,7,0,72,6,Private Debt,
MARQUIS FAMILY OFFICE,Equity Diversified Selection Fund,2018,496,419,76,4,1,42,9,Private Equity,
MILLENIUM GESTION PRIVÉE,Global Short Term Credit Fund,2022,285,213,72,88,43,96,9,Private Equity,
MILLENIUM GESTION PRIVÉE,International Fixed Duration Fund,2019,212,157,55,49,10,39,9,Private Equity,
MILLENIUM GESTION PRIVÉE,Community Savings Bond Fund,2021,373,178,195,81,28,72,9,Private Equity,
MILLENIUM GESTION PRIVÉE,European High Yield Bond Fund,2023,440,253,187,15,2,31,9,Private Debt,
MILLENIUM GESTION PRIVÉE,Fixed Maturity 2027 Bond Fund,2018,28,21,7,1,0,8,9,Private Debt,
MILLENIUM GESTION PRIVÉE,Fixed Maturity 2025 Bond Fund,2021,184,16,168,1,0,18,8,Private Equity,
MILLENIUM GESTION PRIVÉE,Target Maturity 2029 Bond Fund,2023,311,161,149,34,2,28,9,Private Equity,
MILLENIUM GESTION PRIVÉE,Impact Credit Strategies Fund,2019,48,16,32,5,1,46,6,Private Debt,
MILLENIUM GESTION PRIVÉE,Global Cross Asset Fund,2020,343,213,129,74,20,60,6,Private Equity,
MILLENIUM GESTION PRIVÉE,Equity Diversified Selection Fund,2019,306,248,58,4,0,16,9,Private Debt,
MY FAMILY OFFICER,Global Short Term Credit Fund,2024,344,9,335,2,0,14,6,Private Debt,
MY FAMILY OFFICER,International Fixed Duration Fund,2018,439,76,363,22,2,98,8,Private Debt,
MY FAMILY OFFICER,Community Savings Bond Fund,2020,51,36,15,3,1,4,6,Private Debt,
MY FAMILY OFFICER,European High Yield Bond Fund,2017,381,187,194,87,43,42,6,Private Equity,
MY FAMILY OFFICER,Fixed Maturity 2027 Bond Fund,2022,267,208,59,27,11,33,6,Private Debt,
MY FAMILY OFFICER,Fixed Maturity 2025 Bond Fund,2020,460,249,211,63,19,4,6,Private Equity,
MY FAMILY OFFICER,Target Maturity 2029 Bond Fund,2021,162,118,44,48,21,39,6,Private Equity,
MY FAMILY OFFICER,Impact Credit Strategies Fund,2017,14,4,10,1,0,87,9,Private Equity,
MY FAMILY OFFICER,Global Cross Asset Fund,2021,429,284,145,110,7,16,6,Private Equity,
MY FAMILY OFFICER,Equity Diversified Selection Fund,2021,466,166,301,79,12,49,6,Private Equity,
NEOWISE,Global Short Term Credit Fund,2021,330,285,45,110,0,92,8,Private Equity,
NEOWISE,International Fixed Duration Fund,2024,206,95,110,13,5,30,9,Private Debt,
NEOWISE,Community Savings Bond Fund,2023,153,85,68,5,1,4,8,Private Equity,
NEOWISE,European High Yield Bond Fund,2021,32,8,24,0,0,77,6,Private Equity,
NEOWISE,Fixed Maturity 2027 Bond Fund,2024,460,79,381,13,0,27,6,Private Debt,
NEOWISE,Fixed Maturity 2025 Bond Fund,2017,382,104,278,45,0,29,9,Private Debt,
NEOWISE,Target Maturity 2029 Bond Fund,2017,266,123,143,3,0,4,9,Private Equity,
NEOWISE,Impact Credit Strategies Fund,2021,101,8,93,1,0,79,9,Private Equity,
NEOWISE,Global Cross Asset Fund,2017,171,27,144,12,3,34,9,Private Debt,
NEOWISE,Equity Diversified Selection Fund,2020,439,87,352,37,16,72,9,Private Debt,
OMEGA PATRIMOINE,Global Short Term Credit Fund,2023,357,123,234,32,0,7,6,Private Equity,
OMEGA PATRIMOINE,International Fixed Duration Fund,2018,339,68,271,34,16,15,9,Private Debt,
OMEGA PATRIMOINE,Community Savings Bond Fund,2019,352,90,262,29,13,77,8,Private Debt,
OMEGA PATRIMOINE,European High Yield Bond Fund,2020,226,179,47,25,1,28,9,Private Debt,
OMEGA PATRIMOINE,Fixed Maturity 2027 Bond Fund,2019,226,66,160,12,6,59,9,Private Debt,
OMEGA PATRIMOINE,Fixed Maturity 2025 Bond Fund,2024,138,57,81,5,1,26,9,Private Equity,
OMEGA PATRIMOINE,Target Maturity 2029 Bond Fund,2022,335,2,333,1,0,52,8,Private Equity,
OMEGA PATRIMOINE,Impact Credit Strategies Fund,2023,54,17,37,2,0,14,8,Private Debt,
OMEGA PATRIMOINE,Global Cross Asset Fund,2022,451,150,302,61,20,20,8,Private Equity,
OMEGA PATRIMOINE,Equity Diversified Selection Fund,2021,470,4,467,1,0,10,8,Private Debt,
PEMBROKE FAMILY OFFICE,Global Short Term Credit Fund,2021,487,53,434,25,8,91,6,Private Debt,
PEMBROKE FAMILY OFFICE,International Fixed Duration Fund,2023,458,397,61,41,7,100,9,Private Debt,
PEMBROKE FAMILY OFFICE,Community Savings Bond Fund,2018,206,138,68,44,10,57,8,Private Equity,
PEMBROKE FAMILY OFFICE,European High Yield Bond Fund,2023,293,54,239,6,1,64,6,Private Debt,
PEMBROKE FAMILY OFFICE,Fixed Maturity 2027 Bond Fund,2017,105,43,62,11,1,55,9,Private Equity,
PEMBROKE FAMILY OFFICE,Fixed Maturity 2025 Bond Fund,2024,165,8,157,1,1,19,8,Private Debt,
PEMBROKE FAMILY OFFICE,Target Maturity 2029 Bond Fund,2022,236,91,144,28,6,24,6,Private Debt,
PEMBROKE FAMILY OFFICE,Impact Credit Strategies Fund,2017,120,74,46,19,2,83,8,Private Equity,
PEMBROKE FAMILY OFFICE,Global Cross Asset Fund,2018,44,6,37,1,0,99,9,Private Debt,
PEMBROKE FAMILY OFFICE,Equity Diversified Selection Fund,2022,347,41,306,9,3,70,6,Private Equity,
SAGIS ASSET MANAGEMENT,Global Short Term Credit Fund,2021,44,6,38,1,0,58,9,Private Debt,
SAGIS ASSET MANAGEMENT,International Fixed Duration Fund,2023,418,284,134,112,2,18,6,Private Debt,
SAGIS ASSET MANAGEMENT,Community Savings Bond Fund,2023,191,119,72,16,1,38,9,Private Debt,
SAGIS ASSET MANAGEMENT,European High Yield Bond Fund,2019,465,193,272,35,10,88,8,Private Debt,
SAGIS ASSET MANAGEMENT,Fixed Maturity 2027 Bond Fund,2018,253,140,113,24,9,28,9,Private Equity,
SAINSARD EXPERTS,Sustainable Retail Fund,2018,165,88,78,43,17,11,9,Private Equity,
B&E PARTNERS,Sustainable Retail Fund,2023,434,114,320,48,15,41,9,Private Debt,
CABINET ROUX,Sustainable Retail Fund,2019,92,55,37,6,2,45,8,Private Debt,
FIDAL,Sustainable Retail Fund,2023,375,320,55,128,1,57,6,Private Equity,
IFC EXPERTISE,Sustainable Retail Fund,2024,218,92,126,16,6,20,9,Private Debt,
LH & ASSOCIÉS,Sustainable Retail Fund,2022,430,205,225,57,18,71,8,Private Equity,
WÜEST PARTNER FRANCE,Sustainable Retail Fund,2023,329,219,110,43,9,99,9,Private Equity,
AGAMI FAMILY OFFICE,Sustainable Retail Fund,2019,301,71,231,27,3,14,9,Private Equity,
FAMILY PARTNERS,Sustainable Retail Fund,2020,336,210,126,51,3,16,6,Private Equity,
INTUITAE,Sustainable Retail Fund,2017,430,206,225,58,25,94,9,Private Equity,
IVESTA FAMILY OFFICE,Sustainable Retail Fund,2017,274,193,80,79,15,20,9,Private Equity,
KEEPERS,Sustainable Retail Fund,2022,389,106,283,53,14,54,8,Private Equity,
LETUS PRIVATE OFFICE,Sustainable Retail Fund,2023,261,112,149,15,7,87,9,Private Equity,
MJ & CIE,Sustainable Retail Fund,2019,147,122,26,16,8,6,6,Private Debt,
ALTHEO PARTNERS,Sustainable Retail Fund,2018,401,40,360,20,4,50,8,Private Debt,
EVEN FO,Sustainable Retail Fund,2019,316,167,148,25,1,21,6,Private Equity,
FOBS,Sustainable Retail Fund,2020,461,110,350,53,8,74,6,Private Debt,
KIMPA,Sustainable Retail Fund,2018,171,137,34,57,23,25,9,Private Debt,
OCTAVE FAMILY OFFICE,Sustainable Retail Fund,2022,372,25,347,4,1,24,6,Private Debt,
OFFICIUM ASSET MANAGEMENT,Sustainable Retail Fund,2023,79,39,40,19,2,87,9,Private Debt,
XELIS FAMILY OFFICE,Sustainable Retail Fund,2019,403,98,304,45,15,68,9,Private Debt,
ARAMIS FINANCE,Sustainable Retail Fund,2018,384,231,152,2,0,78,9,Private Debt,
B DURAND CAPITAL PARTNERS,Sustainable Retail Fund,2024,265,136,129,49,24,39,9,Private Debt,
BEELONG FAMILY OFFICE,Sustainable Retail Fund,2020,424,91,333,11,1,57,9,Private Debt,
COLISÉE FAMILY OFFICE,Sustainable Retail Fund,2017,338,299,40,95,39,19,8,Private Equity,
EXPERTS EN PATRIMOINE,Sustainable Retail Fund,2019,423,208,215,47,12,70,9,Private Equity,
FLUENCE,Sustainable Retail Fund,2019,160,99,61,13,5,6,9,Private Equity,
HEREST,Sustainable Retail Fund,2022,466,314,152,89,44,72,9,Private Equity,
INKIPIT FINANCE,Sustainable Retail Fund,2020,407,281,126,125,55,33,8,Private Debt,
KERMONY OFFICE,Sustainable Retail Fund,2021,63,6,57,2,1,4,9,Private Debt,
LEONE KAPITAL,Sustainable Retail Fund,2022,137,81,56,40,17,77,6,Private Debt,
MAISON LAPLACE,Sustainable Retail Fund,2024,223,70,153,29,9,51,8,Private Equity,
MEESCHAERT FAMILY OFFICE,Sustainable Retail Fund,2017,412,238,174,106,4,89,9,Private Equity,
PULSE,Sustainable Retail Fund,2020,226,140,86,55,26,92,8,Private Debt,
ATHOS PATRIMOINE,Sustainable Retail Fund,2021,370,245,125,74,11,42,9,Private Equity,
DOXANS,Sustainable Retail Fund,2022,201,170,31,32,1,35,8,Private Equity,
EVFO,Sustainable Retail Fund,2023,356,133,222,46,6,15,9,Private Debt,
G CONSULT FINANCES,Sustainable Retail Fund,2024,170,28,142,13,1,88,6,Private Debt,
HÂPYFEW,Sustainable Retail Fund,2018,38,13,25,1,0,60,8,Private Debt,
IMANI & YOU,Sustainable Retail Fund,2017,353,293,60,87,2,85,6,Private Equity,
MARQUIS FAMILY OFFICE,Sustainable Retail Fund,2019,366,120,246,54,1,1,8,Private Equity,
MILLENIUM GESTION PRIVÉE,Sustainable Retail Fund,2023,448,341,107,158,54,74,9,Private Equity,
MY FAMILY OFFICER,Sustainable Retail Fund,2023,379,188,191,87,8,63,8,Private Equity,
NEOWISE,Sustainable Retail Fund,2018,420,373,47,12,0,77,9,Private Equity,
OMEGA PATRIMOINE,Sustainable Retail Fund,2021,265,188,77,4,1,59,9,Private Equity,
PEMBROKE FAMILY OFFICE,Sustainable Retail Fund,2024,394,124,270,61,5,93,9,Private Debt,
SAGIS ASSET MANAGEMENT,Sustainable Retail Fund,2024,209,88,120,20,9,30,8,Private Equity,
SAGIS ASSET MANAGEMENT,Fixed Maturity 2025 Bond Fund,2019,371,268,103,54,19,7,8,Private Equity,
SAGIS ASSET MANAGEMENT,Target Maturity 2029 Bond Fund,2017,263,29,234,12,1,17,9,Private Equity,
SAGIS ASSET MANAGEMENT,Impact Credit Strategies Fund,2024,470,195,274,45,6,90,6,Private Equity,
SAGIS ASSET MANAGEMENT,Global Cross Asset Fund,2018,403,154,250,47,7,48,8,Private Equity,
SAGIS ASSET MANAGEMENT,Equity Diversified Selection Fund,2021,413,356,57,10,1,32,8,Private Equity,
VAULT,Global Short Term Credit Fund,2024,378,27,350,8,2,85,8,Private Debt,
VAULT,International Fixed Duration Fund,2024,126,51,75,18,3,70,6,Private Equity,
VAULT,Community Savings Bond Fund,2019,435,324,111,39,8,17,6,Private Equity,
VAULT,European High Yield Bond Fund,2022,461,61,399,22,1,36,9,Private Debt,
VAULT,Fixed Maturity 2027 Bond Fund,2019,262,170,92,68,6,32,9,Private Equity,
VAULT,Fixed Maturity 2025 Bond Fund,2017,476,373,103,95,1,66,6,Private Debt,
VAULT,Target Maturity 2029 Bond Fund,2021,341,110,230,49,8,62,8,Private Equity,
VAULT,Impact Credit Strategies Fund,2022,260,40,219,19,1,65,6,Private Debt,
VAULT,Global Cross Asset Fund,2024,253,37,216,2,0,72,9,Private Equity,
VAULT,Equity Diversified Selection Fund,2023,222,86,136,22,8,73,9,Private Debt,
VIGIFINANCE,Global Short Term Credit Fund,2022,45,19,25,6,1,41,9,Private Debt,
VIGIFINANCE,International Fixed Duration Fund,2022,330,188,142,47,17,99,6,Private Debt,
VIGIFINANCE,Community Savings Bond Fund,2017,50,26,24,6,1,25,9,Private Equity,
VIGIFINANCE,European High Yield Bond Fund,2021,338,51,287,16,5,8,9,Private Equity,
VIGIFINANCE,Fixed Maturity 2027 Bond Fund,2023,465,233,232,83,33,68,8,Private Debt,
VIGIFINANCE,Fixed Maturity 2025 Bond Fund,2019,396,241,155,86,35,54,9,Private Debt,
VIGIFINANCE,Target Maturity 2029 Bond Fund,2020,292,55,237,26,4,67,9,Private Equity,
VIGIFINANCE,Impact Credit Strategies Fund,2024,166,2,164,0,0,32,6,Private Debt,
VIGIFINANCE,Global Cross Asset Fund,2017,316,256,60,62,21,14,8,Private Debt,
VIGIFINANCE,Equity Diversified Selection Fund,2021,381,111,270,46,14,74,9,Private Equity,
ALTRIDE FAMILY OFFICE,Global Short Term Credit Fund,2022,358,118,240,32,9,51,9,Private Equity,
ALTRIDE FAMILY OFFICE,International Fixed Duration Fund,2024,424,302,122,64,20,95,9,Private Equity,
ALTRIDE FAMILY OFFICE,Community Savings Bond Fund,2024,196,76,120,28,13,61,6,Private Equity,
ALTRIDE FAMILY OFFICE,European High Yield Bond Fund,2023,498,236,262,41,3,72,9,Private Debt,
ALTRIDE FAMILY OFFICE,Fixed Maturity 2027 Bond Fund,2020,168,135,33,42,5,7,8,Private Debt,
ALTRIDE FAMILY OFFICE,Fixed Maturity 2025 Bond Fund,2017,266,97,169,45,13,66,6,Private Debt,
ALTRIDE FAMILY OFFICE,Target Maturity 2029 Bond Fund,2019,188,161,27,29,0,100,8,Private Debt,
ALTRIDE FAMILY OFFICE,Impact Credit Strategies Fund,2021,465,76,389,37,8,45,9,Private Equity,
ALTRIDE FAMILY OFFICE,Global Cross Asset Fund,2019,30,2,27,1,0,5,8,Private Debt,
ALTRIDE FAMILY OFFICE,Equity Diversified Selection Fund,2023,389,225,164,42,10,25,8,Private Debt,
ANTIUM FRANCE,Global Short Term Credit Fund,2024,456,31,426,9,1,23,6,Private Debt,
ANTIUM FRANCE,International Fixed Duration Fund,2020,160,30,130,1,0,81,8,Private Debt,
ANTIUM FRANCE,Community Savings Bond Fund,2021,498,352,146,131,22,25,6,Private Debt,
ANTIUM FRANCE,European High Yield Bond Fund,2020,93,32,61,10,4,20,8,Private Debt,
ANTIUM FRANCE,Fixed Maturity 2027 Bond Fund,2020,387,287,99,35,18,16,8,Private Debt,
ANTIUM FRANCE,Fixed Maturity 2025 Bond Fund,2021,204,54,150,26,10,92,9,Private Debt,
ANTIUM FRANCE,Target Maturity 2029 Bond Fund,2018,360,234,125,83,12,23,8,Private Equity,
ANTIUM FRANCE,Impact Credit Strategies Fund,2020,491,231,260,16,6,34,6,Private Debt,
ANTIUM FRANCE,Global Cross Asset Fund,2020,437,365,72,62,25,85,9,Private Debt,
ANTIUM FRANCE,Equity Diversified Selection Fund,2024,497,153,344,29,11,83,9,Private Debt,
COHAESIA FAMILY OFFICE,Global Short Term Credit Fund,2024,373,328,45,3,1,68,8,Private Debt,
COHAESIA FAMILY OFFICE,International Fixed Duration Fund,2019,446,87,359,29,5,63,9,Private Equity,
COHAESIA FAMILY OFFICE,Community Savings Bond Fund,2019,195,71,124,34,9,64,9,Private Debt,
COHAESIA FAMILY OFFICE,European High Yield Bond Fund,2020,104,66,38,11,5,40,8,Private Equity,
COHAESIA FAMILY OFFICE,Fixed Maturity 2027 Bond Fund,2022,119,27,93,4,2,30,6,Private Equity,
COHAESIA FAMILY OFFICE,Fixed Maturity 2025 Bond Fund,2023,426,114,312,1,0,2,6,Private Equity,
COHAESIA FAMILY OFFICE,Target Maturity 2029 Bond Fund,2017,107,8,98,2,1,80,8,Private Equity,
